Year,Title,Director,MPAA,Runtime,J,E,R,K,S
1938,Port of Shadows,Marcel Carné,NR,91,0,0,0,0,1
1946,"Postman Always Rings Twice, The",Tay Garnett,NR,113,0,0,0,0,1
1987,Predator,John McTiernan,R,107,0,0,0,0,1
2006,"Prestige, The",Christopher Nolan,PG-13,130,0,0,1,0,1
1996,Primal Fear,Gregory Hoblit,R,129,0,0,0,0,1
1987,"Princess Bride, The",Rob Reiner,PG,98,1,1,1,1,1
1997,Princess Mononoke,Hayao Miyazaki,PG-13,133,1,1,1,1,1
1996,Prisoner of the Mountains,Sergei Bodrov,R,98,0,0,0,0,0
1994,"Professional, The",Luc Besson,R,106,1,1,1,1,1
2001,Promises,Carlos Bolado,NR,106,0,0,0,0,0
2005,Proof,John Madden,PG-13,99,0,1,1,0,1
1960,Psycho,Alfred Hitchcock,R,109,1,1,0,1,1
1931,"Public Enemy, The",William A. Wellman,NR,83,0,0,1,0,1
1994,Pulp Fiction,Quentin Tarantino,R,168,1,1,1,1,1
2002,Punch-Drunk Love,Paul Thomas Anderson,R,95,1,1,1,1,1
1985,"Purple Rose of Cairo, The",Woody Allen,PG,84,0,0,0,0,1
1981,Quest for Fire,Jean-Jacques Annaud,R,100,0,1,1,0,1
1952,"Quiet Man, The",John Ford,NR,129,0,0,0,0,0
2000,Quills,Philip Kaufman,R,124,0,1,1,0,1
1994,Quiz Show,Robert Redford,PG-13,133,1,1,1,1,1
2002,Rabbit-Proof Fence,Phillip Noyce,PG,94,1,0,1,0,1
1980,Raging Bull,Martin Scorsese,R,129,1,1,1,1,1
1981,Raiders of the Lost Ark,Steven Spielberg,PG,115,1,1,1,1,1
1988,Rain Man,Barry Levinson,R,133,0,1,1,0,1
1991,Raise the Red Lantern,Yimou Zhang,PG,125,0,0,0,0,0
1961,"Raisin in the Sun, A",Daniel Petrie,NR,128,1,0,1,0,0
1985,Ran,Akira Kurosawa,R,160,1,0,0,1,1
1950,Rashomon,Akira Kurosawa,NR,88,1,1,1,1,1
2007,Ratatouille,Brad Bird,G,111,0,0,0,0,0
2004,Ray,Taylor Hackford,PG-13,152,1,0,1,0,1
1954,Rear Window,Alfred Hitchcock,PG,112,0,1,1,1,1
1940,Rebecca,Alfred Hitchcock,NR,130,0,0,0,0,1
1955,Rebel Without a Cause,Nicholas Ray,NR,111,0,1,1,1,1
2002,Red Dragon,Brett Ratner,R,124,1,1,1,1,1
1948,Red River,Howard Hawks,NR,133,0,0,0,0,1
1990,"Reflecting Skin, The",Philip Ridley,R,95,0,0,0,0,0
1993,"Remains of the Day, The",James Ivory,PG,134,0,0,0,0,0
1965,Repulsion,Roman Polanski,NR,104,0,0,1,0,1
2000,Requiem for a Dream,Darren Aronofsky,R,102,1,1,1,1,1
1992,Reservoir Dogs,Quentin Tarantino,R,99,1,1,1,1,1
1975,"Return of the Pink Panther, The",Blake Edwards,G,113,0,0,0,1,1
1990,Reversal of Fortune,Barbet Schroeder,R,111,0,0,0,0,0
1991,Rhapsody in August,Akira Kurosawa,PG,98,0,0,0,1,0
1995,Richard III,Richard Loncraine,R,104,0,1,1,0,1
1962,Ride the High Country,Sam Peckinpah,NR,94,0,0,0,0,0
1955,Rififi,Jules Dassin,NR,115,0,0,1,0,1
1983,"Right Stuff, The",Philip Kaufman,PG,187,1,1,1,0,1
1927,"Ring, The",Alfred Hitchcock,NR,72,0,0,0,0,0
2002,"Ring, The",Gore Verbinski,PG-13,115,1,1,1,1,1
1959,Rio Bravo,Howard Hawks,NR,141,0,0,0,0,0
1950,Rio Grande,John Ford,NR,105,0,0,1,0,1
1951,"River, The",Jean Renoir,NR,99,0,0,0,0,0
2001,Rivers And Tides,Thomas Riedelsheimer,NR,90,0,0,0,0,0
2005,Rize,David LaChapelle,PG-13,86,0,0,0,1,1
2002,Road to Perdition,Sam Mendes,R,117,1,1,1,1,1
2003,Robot Stories,Greg Pak,NR,85,0,0,0,1,0
1996,"Rock, The",Michael Bay,R,134,1,1,1,1,1
1976,Rocky,John G. Avildsen,PG,119,1,1,0,1,1
2006,Rocky Balboa,Sylvester Stallone,PG,102,0,0,0,1,1
1989,Roger and Me,Michael Moore,R,91,1,1,1,1,1
2002,Roger Dodger,Dylan Kidd,R,104,0,1,1,1,1
1972,Roma,Federico Fellini,R,128,0,0,0,0,0
1953,Roman Holiday,William Wyler,NR,118,0,1,1,1,1
1996,Romeo + Juliet,Baz Luhrmann,PG-13,120,1,1,1,1,1
1936,Romeo and Juliet,George Cukor,NR,125,0,0,0,0,1
1998,Ronin,John Frankenheimer,R,121,1,1,1,1,1
1948,Rope,Alfred Hitchcock,PG,80,0,0,0,0,1
1968,Rosemary's Baby,Roman Polanski,R,136,0,1,1,0,1
2001,"Royal Tenenbaums, The",Wes Anderson,R,109,1,1,1,1,1
1939,"Rules of the Game, The",Jean Renoir,NR,110,0,0,1,0,1
1998,Run Lola Run,Tom Tykwer,R,81,1,1,1,1,1
1987,"Running Man, The",Paul Michael Glaser,R,101,1,0,0,0,1
1998,Rushmore,Wes Anderson,R,93,1,1,1,1,1
2002,Russian Ark,Aleksandr Sokurov,NR,96,0,0,1,0,1
1936,Sabotage,Alfred Hitchcock,NR,76,1,1,1,0,1
1942,Saboteur,Alfred Hitchcock,PG,108,1,0,0,0,0
1954,Sabrina,Billy Wilder,NR,113,0,0,1,0,0
1986,"Sacrifice, The",Andrei Tarkovsky,PG,143,0,0,0,0,0
1986,Salvador,Oliver Stone,R,123,0,0,0,0,0
1993,"Sandlot, The",David M. Evans,PG,101,1,1,1,1,1
1962,Sanjuro,Akira Kurosawa,NR,96,0,0,0,1,0
2003,Saraband,Ingmar Bergman,R,120,0,0,0,0,0
1977,Saturday Night Fever,John Badham,R,118,1,1,1,1,1
2007,"Savages, The",Tamara Jenkins,R,113,0,0,0,0,0
1998,Saving Private Ryan,Steven Spielberg,R,170,1,1,1,1,1
1989,Say Anything,Cameron Crowe,PG-13,100,1,1,1,1,1
1932,Scarface,Howard Hawks,NR,93,0,0,0,0,1
1983,Scarface,Brian De Palma,R,170,1,1,1,1,1
1934,"Scarlet Empress, The",Josef von Sternberg,NR,104,0,0,0,0,0
1973,Scenes from a Marriage,Ingmar Bergman,PG,167,0,0,0,0,0
1992,Scent of a Woman,Martin Brest,R,157,0,0,1,0,1
1993,Schindler's List,Steven Spielberg,R,197,1,1,1,1,1
2003,School of Rock,Richard Linklater,PG-13,108,1,1,1,1,1
2001,"Scotland, Pa.",Billy Morrissette,R,104,0,0,1,1,0
1996,Scream,Wes Craven,R,111,1,1,1,1,1
1997,Scream 2,Wes Craven,R,120,1,1,1,1,1
1988,Scrooged,Richard Donner,PG-13,101,1,0,1,0,1
1995,Se7en,David Fincher,R,123,1,1,1,1,1
1956,"Searchers, The",John Ford,NR,120,0,0,0,0,1
1993,Searching for Bobby Fisher,Steven Zaillian,PG,110,0,1,1,0,1
1936,Secret Agent,Alfred Hitchcock,NR,86,0,0,0,0,0
2002,Secretary,Steven Shainberg,R,104,1,1,1,1,1
1941,Sergeant York,Howard Hawks,NR,134,0,0,0,0,1
1973,Serpico,Sidney Lumet,R,129,0,0,0,0,1
2001,Session 9,Brad Anderson,R,100,0,0,1,0,1
1954,Seven Samurai,Akira Kurosawa,NR,203,1,1,1,1,1
1955,"Seven Year Itch, The",Billy Wilder,NR,105,0,0,1,0,1
1957,"Seventh Seal, The",Igmar Bergman,NR,96,0,1,1,1,1
2001,Sex and Lucía,Julio Medem,R,128,0,1,1,0,1
1989,"sex, lies, and videotape",Steven Soderbergh,R,98,0,1,1,1,1
2000,Sexy Beast,Jonathan Glazer,R,88,1,1,1,0,1
1943,Shadow of a Doubt,Alfred Hitchcock,PG,108,0,0,0,0,1
2000,Shadow of the Vampire,E. Elias Merhige,R,92,1,0,1,0,1
1971,Shaft,Gordon Parks,R,100,0,0,0,0,0
1998,Shakespeare in Love,John Madden,R,122,1,1,1,1,1
1968,Shame,Ingmar Bergman,R,103,0,0,0,0,0
1953,Shane,George Stevens,NR,118,0,0,0,0,1
2001,Shaolin Soccer,Stephen Chow,PG-13,111,0,1,0,1,0
1994,"Shawshank Redemption, The",Frank Darabont,R,142,1,1,1,1,1
1949,She Wore a Yellow Ribbon,John Ford,NR,103,0,0,0,0,1
2006,SherryBaby,Laurie Collyer,R,96,0,0,0,0,0
1996,Shine,Scott Hicks,PG-13,105,1,1,1,1,1
1980,"Shining, The",Stanley Kubrick,R,146,1,1,1,1,1
2001,"Shipping News, The",Lasse Hallström,R,111,1,0,1,0,1
1976,"Shootist, The",Don Siegel,PG,100,0,0,0,0,1
2005,Shopgirl,Anand Tucker,R,104,0,0,1,1,1
1993,Short Cuts,Robert Altman,R,187,0,0,0,0,1
2001,Shrek,Andrew Adamson,PG,90,1,1,1,1,1
2007,Sicko,Michael Moore,PG-13,123,0,0,0,0,0
2002,Signs,M. Night Shyamalan,PG-13,106,1,1,1,1,1
1991,"Silence of the Lambs, The",Jonathan Demme,R,118,1,1,1,1,1
1983,Silkwood,Mike Nichols,R,131,0,0,0,0,0
1985,Silverado,Lawrence Kasdan,PG-13,127,0,0,0,0,1
1998,Simon Birch,Mark Steven Johnson,PG,113,0,0,1,0,1
1998,"Simple Plan, A",Sam Raimi,R,121,0,0,0,0,1
2005,Sin City,Frank Miller,R,124,1,1,1,1,1
1953,Singin' in the Rain,Stanley Donen,G,103,0,0,1,0,1
1984,Sixteen Candles,John Hughes,PG-13,93,0,1,1,0,0
1999,"Sixth Sense, The",M. Night Shyamalan,PG-13,106,1,1,1,1,1
2004,Sky Captain and the World of Tomorrow,Kerry Conran,PG,106,1,0,1,1,1
1998,SLC Punk!,James Merendino,R,97,0,0,0,1,1
1973,Sleeper,Woody Allen,PG,87,1,1,1,0,1
1959,Sleeping Beauty,Milt Banta,G,75,1,1,1,1,1
1993,Sleepless in Seattle,Nora Ephron,PG,105,1,1,1,1,1
1972,Sleuth,Joseph L. Mankiewicz,PG,138,0,0,0,0,0
1996,Sling Blade,Billy Bob Thorton,R,135,1,1,1,1,1
2008,Slumdog Millionaire,Danny Boyle,R,120,0,0,0,0,0
2000,Small Time Crooks,Woody Allen,PG,94,1,1,1,1,1
1955,Smiles of a Summer Night,Ingmar Bergman,NR,108,0,0,1,0,1
2006,Snakes on a Plane,David R. Ellis,R,105,0,1,1,0,1
2000,Snatch,Guy Ritchie,R,102,1,0,1,1,1
1992,Sneakers,Phil Alden Robinson,PG-13,126,1,0,0,0,1
1937,Snow White and the Seven Dwarfs,David Hand,G,83,1,1,1,1,1
1972,Solaris,Andrei Tarkovsky,PG,165,0,0,0,0,0
1959,Some Like It Hot,Billy Wilder,PG,120,1,1,1,1,1
1946,Songs of the South,Harve Foster,G,94,0,0,0,0,1
1969,"Sorrow and the Pity, The",Marcel Ophüls,NR,265,0,0,1,0,1
1948,"Sorry, Wrong Number",Anatole Litvak,NR,89,0,0,0,0,1
1999,South Park: Bigger Longer & Uncut,Trey Parker,R,80,1,1,1,1,1
1945,"Southerner, The",Jean Renoir,NR,92,0,0,0,0,1
1973,Soylent Green,Richard Fleischer,PG,97,1,0,0,0,1
1987,Spaceballs,Mel Brooks,PG,96,1,1,1,1,1
1997,"Spanish Prisoner, The",David Mamet,PG,110,0,0,1,0,1
1960,Spartacus,Stanley Kubrick,PG-13,198,0,0,1,0,1
1945,Spellbound,Alfred Hitchcock,NR,111,1,0,1,0,1
2002,Spellbound,Jeffrey Blitz,G,97,1,1,1,0,1
2001,Spirited Away,Hayao Myazaki,PG,125,1,1,1,1,1
2005,"Squid and the Whale, The",Noah Baumbach,R,81,0,1,1,1,1
1939,Stagecoach,John Ford,NR,96,0,1,1,0,1
1953,Stalag 17,Billy Wilder,NR,120,0,0,0,0,1
1979,Stalker,Andrei Tarkovsky,NR,163,0,0,0,0,0
1986,Stand by Me,Rob Reiner,R,89,0,1,1,0,0
1954,"Star is Born, A",George Cukor,PG,176,0,0,0,0,0
1977,Star Wars: Episode IV - A New Hope,George Lucas,PG,121,1,1,1,1,1
1980,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,PG,124,1,1,1,1,1
1983,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,PG,134,1,1,1,1,1
1984,Starman,John Carpenter,PG,115,0,0,0,0,0
2000,State and Main,David Mamet,R,105,1,1,1,1,1
1990,State of Grace,Phil Joanou,R,134,0,0,0,0,0
1948,State of the Union,Frank Capra,NR,124,0,0,0,0,0
2003,Station Agent,The Thomas,R,88,0,0,1,0,1
1989,Steel Magnolias,Herbert Ross,PG,117,0,1,1,0,1
1999,Stigmata,Rupert Wainwright,R,103,1,1,1,1,1
1973,"Sting, The",George Roy Hill,PG,129,1,1,0,0,1
2001,Storytelling,Todd Soldonz,R,87,0,0,1,1,1
1954,"Strada, La",Federico Fellini,NR,98,0,0,0,0,0
1999,"Straight Story, The",David Lynch,G,112,0,1,1,0,1
2006,Stranger Than Fiction,Marc Foster,PG-13,113,0,0,1,1,1
1946,"Stranger, The",Orson Welles,NR,95,0,0,0,0,0
1951,Strangers on a Train,Alfred Hitchcock,PG,101,0,1,1,0,1
1971,Straw Dogs,Sam Peckinpah,R,118,0,0,1,0,1
1951,"Streetcar Named Desire, A",Elia Kazan,PG,122,1,1,1,1,1
1992,Strictly Ballroom,Baz Luhrmann,PG,94,0,0,1,0,1
1959,"Suddenly, Last Summer",Joseph L. Mankiewicz,NR,114,0,0,0,0,1
1941,Sullivan's Travels,Preston Sturges,NR,90,0,0,0,0,1
1927,Sunrise,F.W. Murnau,NR,95,0,0,0,0,0
1950,Sunset Blvd.,Billy Wilder,NR,110,1,0,1,1,1
2004,Super Size Me,Morgan Spurlock,NR,96,1,1,1,1,1
2007,Superbad,Greg Mottola,R,114,0,0,1,1,1
1941,Suspicion,Alfred Hitchcock,NR,99,0,0,0,0,1
1999,Sweet and Lowdown,Woody Allen,PG-13,95,1,1,1,0,1
1997,"Sweet Hereafter, The",Atom Egoyan,R,112,0,1,1,0,1
2003,Swimming Pool,FranÃ§ois Ozon,R,203,1,1,1,1,1
1963,"Sword in the Stone, The",Wolfgang Reitherman,G,79,1,1,1,1,1
1969,Take the Money and Run,Woody Allen,PG,85,1,0,0,0,0
1974,"Taking of Pelham One Two Three, The",Joseph Sargent,R,104,0,0,1,0,0
2002,Talk to Her,Pedro Almodóvar,R,112,1,1,1,0,1
2000,"Tao of Steve, The",Jenniphr Goodman,R,87,0,0,1,1,0
2001,Tape,Richard Linklater,R,86,0,0,1,0,1
1976,Taxi Driver,Martin Scorsese,R,113,1,1,1,1,1
1956,"Ten Commandments, The",Cecil B. DeMille,G,220,1,0,0,1,0
1976,"Tenant, The",Roman Polanski,R,125,0,0,1,0,1
1991,Terminator 2: Judgement Day,James Cameron,R,137,1,1,1,1,1
2003,Terminator 3: Rise of the Machines,Jonathan Mostow,R,108,1,1,1,1,1
1984,"Terminator, The",James Cameron,R,108,1,1,1,1,1
1974,"Texas Chain Saw Massacre, The",Tobe Hooper,R,83,0,0,0,1,1
2007,There Will Be Blood,Paul Thomas Anderson,R,158,0,0,0,1,1
1996,Thesis,Alejandro Amenábar,R,125,0,0,0,0,0
1945,They Were Expendable,John Ford,NR,135,0,0,0,0,1
1949,Thieves' Highway,Jules Dassin,NR,94,0,0,0,1,0
1988,"Thin Blue Line, The",Errol Morris,NR,103,0,0,0,0,1
1934,"Thin Man, The",W.S. Van Dyke,NR,93,0,0,1,0,1
1998,"Thin Red Line, The",Terrence Malick,R,170,1,0,1,0,1
1951,"Thing From Another World, The",Christian Nyby,NR,85,0,0,0,0,1
1982,"Thing, The",John Carpenter,R,109,0,0,0,0,1
1948,"Third Man, The",Carol Reed,NR,104,0,1,1,0,1
2003,Thirteen,Catherine Hardwicke,R,100,0,1,1,0,1
2001,Thirteen Conversations About One Thing,Jill Sprecher,R,94,1,1,1,1,1
1984,This is Spinal Tap,Rob Reiner,R,82,1,1,1,1,1
2002,Thoth,Sarah Kernonchan,NR,40,0,0,0,0,0
2005,"Three Burials of Melquiades Estrada, The",Tommy Lee Jones,R,121,0,0,0,1,1
1993,Three Colors: Blue,Krzysztof Kieslowski,R,100,1,0,1,0,1
1994,Three Colors: Red,Krzysztof Kieslowski,R,99,1,0,1,0,1
1994,Three Colors: White,Krzysztof Kieslowski,R,91,1,0,1,0,1
2004,Three...Extremes,Fruit Chan / Takashi Miike / Chan-wook Park,R,125,0,0,0,0,1
1957,Throne of Blood,Akira Kurosawa,NR,105,0,0,0,1,1
1971,THX 1138,George Lucas,NR,95,1,0,0,0,0
1979,Time After Time,Nicholas Meyer,PG,112,0,0,0,0,0
2001,"Times of Harvey Milk, The",Carlos Bolado,NR,90,0,0,0,0,0
1997,Titanic,James Cameron,PG-13,194,1,1,1,1,1
1999,Titus,Julie Taymore,R,162,1,0,1,0,1
1955,To Catch a Thief,Alfred Hitchcock,NR,106,0,0,0,0,1
1962,To Kill a Mockingbird,Robert Mulligan,NR,129,1,1,1,1,1
1985,To Live and Die in L.A.,William Friedkin,R,116,0,0,0,0,0
1967,To Sir with Love,James Clavell,NR,105,0,0,1,0,0
1953,Tokyo Story,Yasujiro Ozu,NR,136,0,0,0,0,1
1993,Tombstone,George P.  Cosmatos,R,130,1,0,1,0,1
1995,Tommy Boy,Peter Segal,PG-13,97,1,1,1,1,1
1982,Tootsie,Syndey Pollack,PG,119,1,0,1,0,0
1986,Top Gun,Tony Scott,PG,110,1,1,1,1,1
1969,Topaz,Alfred Hitchcock,PG,143,0,0,0,0,1
1999,Topsy-Turvy,Mike Leigh,R,160,0,0,1,0,0
1966,Torn Curtain,Alfred Hitchcock,PG,128,0,0,0,0,0
1958,Touch of Evil,Orson Welles,PG-13,95,0,0,0,0,1
1995,Toy Story,John Lasseter,G,81,1,1,1,1,1
1999,Toy Story 2,Ash Brannon,G,92,1,1,1,1,1
2000,Traffic,Steven Soderbergh,R,147,1,1,0,1,1
2001,Training Day,Antoine Fuqua,R,120,1,1,1,1,1
1996,Trainspotting,Danny Boyle,R,93,1,1,1,1,1
1948,"Treasure of the Sierra Madre, The",John Huston,NR,126,0,0,1,1,1
1996,Trees Lounge,Steve Buscemi,R,95,0,0,0,0,1
2002,Trilogy: One,Lucas Belvaux,NR,117,0,1,0,0,0
2002,Trilogy: Three,Lucas Belvaux,NR,124,0,1,0,0,0
2002,Trilogy: Two,Lucas Belvaux,NR,97,0,1,0,0,0
2003,"Triplets of Belleville, The",Sylvain Chomet,PG-13,80,0,1,1,1,1
2008,Tropic Thunder,Ben Stiller,R,107,0,0,0,0,0
1932,Trouble in Paradise,Ernst Lubitsch,NR,83,0,0,0,0,0
1955,"Trouble with Harry, The",Alfred Hitchcock,PG,99,0,0,0,0,0
1993,True Romance,Tony Scott,NR,120,0,0,1,0,0
1998,"Truman Show, The",Peter Weir,PG,103,1,1,1,1,1
2005,Tsotsi,Gavin Hood,R,94,0,0,0,1,0
1997,Two Girls and a Guy,James Toback,NC-17,84,1,1,1,0,1
1971,Two-Lane Blacktop,Monte Hellman,R,102,0,0,0,1,0
2000,U-571,Jonathan Mostow,PG-13,116,1,1,1,1,1
1953,Ugetsu,Kenji Mizoguchi,NR,94,0,0,0,0,0
1929,Un Chien Andalou,Luis Buñuel,NR,16,0,0,0,0,0
1988,"Unbearable Lightness of Being, The",Phillip Kaufman,R,171,0,0,0,0,0
1992,Unforgiven,Clint Eastwood,R,131,1,1,1,1,1
2006,United 93,Paul Greengrass,R,111,0,1,1,0,0
1987,"Untouchables, The",Brian De Palma,R,119,1,1,1,1,1
1995,"Usual Suspects, The",Bryan Singer,R,106,1,1,1,1,1
1988,"Vanishing, The",George Sluizer,NR,107,0,0,0,0,0
1982,"Verdict, The",Sidney Lumet,R,129,0,0,1,0,1
1958,Vertigo,Alfred Hitchcock,PG,129,1,1,1,1,1
1999,"Virgin Suicides, The",Sofia Coppola,R,97,1,1,1,1,1
1961,Viridiana,Luis Buñuel,NR,90,0,0,0,0,0
1997,Waco: The Rules of Engagement,William Gazecki,NR,136,0,1,1,0,1
1997,Wag the Dog,Barry Levinson,R,97,1,1,1,0,1
1953,"Wages of Fear, The",Henri-Georges Clouzot,NR,131,0,0,0,0,0
1967,Wait Until Dark,Terence Young,NR,107,0,1,0,0,1
2001,Waking Life,Richard Linklater,R,99,1,1,1,1,1
1998,Waking Ned Devine,Kirk Jones,PG,91,0,0,1,1,1
2008,WALL-E,Andrew Stanton,G,98,0,0,0,0,0
1993,Wallace & Gromit: The Wrong Trousers,Nick Park,NR,30,1,1,1,1,1
1933,Waltzes from Vienna,Alfred Hitchcock,NR,80,0,0,0,0,0
1995,Welcome to the Dollhouse,Todd Soldonz,R,88,0,0,0,0,1
1980,Werner Herzog Eats His Shoe,Les Blank,NR,20,0,0,1,1,1
1961,West Side Story,Robert Wise,NR,152,0,0,0,0,1
1973,Westworld,Crichton Michael,PG,88,0,0,1,0,1
2002,Whale Rider,Niki Caro,PG-13,101,0,0,1,0,1
1962,What Ever Happened to Baby Jane?,Robert Aldrich,NR,134,0,0,0,0,0
2000,What Lies Beneath,Robert Zemeckis,PG-13,130,0,1,1,1,1
1993,What's Eating Gilbert Grape,Lasse Hallström,PG-13,118,0,0,1,0,1
1989,When Harry Met Sally,Rob Reiner,R,96,1,1,1,1,1
2006,Who Killed The Electric Car?,Chris Paine,PG,92,0,0,0,1,0
1966,Who's Afraid of Virginia Woolf?,Mike Nichols,NR,134,0,0,0,1,0
1935,"Whole Town's Talking, The",John Ford,NR,93,0,0,0,0,0
1990,Wild at Heart,David Lynch,R,124,0,0,1,0,1
1969,"Wild Bunch, The",Sam Peckinpah,R,134,0,0,0,0,1
1953,"Wild One, The",Laslo Benedek,NR,79,0,0,0,0,0
1957,Wild Strawberries,Igmar Bergman,NR,91,0,0,1,0,1
1998,Wild Things,John McNaughton,R,108,1,1,1,1,1
1971,Willy Wonka & the Chocolate Factory,Mel Stuart,G,100,1,1,1,1,1
1950,Winchester '73,Anthony Mann,NR,92,0,0,0,0,1
1928,"Wind, The",Victor Sjöström,NR,79,0,0,0,0,1
1987,Wings of Desire,Wim Wenders,PG-13,127,0,0,0,0,1
1963,Winter Light,Ingmar Bergman,NR,81,0,1,1,0,1
1998,Without Limits,Robert Towne,PG-13,117,1,1,1,0,1
1985,Witness,Peter Weir,R,112,0,0,0,0,1
1957,Witness for the Prosecution,Billy Wilder,NR,116,0,0,0,0,0
1939,"Wizard of Oz, The",Victor Fleming,G,112,1,1,1,1,1
1974,"Woman Under the Influence, A",John Cassavetes,R,155,0,0,0,0,1
1988,Women on the Verge of a Nervous Breakdown,Pedro Almodóvar,R,90,1,0,1,0,0
1939,"Women, The",George Cukor,NR,133,0,0,0,0,0
2000,Wonder Boys,Curtis Hanson,R,111,0,1,1,0,1
2004,"Woodsman, The",Nicole Kassell,R,87,1,1,0,1,1
2004,Working Slowly (Radio Alice),Guido Chiesa,NR,111,0,0,1,0,0
1956,"Wrong Man, The",Alfred Hitchcock,NR,105,0,0,0,0,0
2001,Y tu Mamá También,Alfonso Cuarón,R,105,1,1,1,1,1
1961,Yojimbo,Akira Kurosawa,NR,110,1,1,1,1,1
2000,You Can Count on Me,Kenneth Lonergan,R,111,0,0,0,0,1
1938,You Can't Take It With You,Frank Capra,NR,126,0,0,0,0,0
1937,Young and Innocent,Alfred Hitchcock,NR,80,0,0,0,0,1
1974,Young Frankenstein,Mel Brooks,PG,108,0,1,0,1,1
1939,Young Mr. Lincoln,John Ford,NR,100,0,0,1,0,1
1998,Your Friends and Neighbors,Neil LaBute,R,100,0,0,1,0,1
1945,Your Job in Germany,Frank Capra,NR,13,0,0,0,0,0
1983,Zelig,Woody Allen,PG,79,1,1,1,1,1
1964,Zulu,Cy Endfield,NR,138,0,1,0,0,1
