Year,Title,Director,MPAA,Runtime,J,E,R,K,S
1991,Dead Again,Kenneth Branagh,R,107,0,0,0,0,0
1989,Dead Poets Society,Peter Weir,PG,128,1,1,1,1,1
1988,Dead Ringers,David Cronenberg,R,115,0,0,1,0,1
1950,Deadly is the Female,Joseph H. Lewis,NR,86,0,0,0,0,0
1997,Deconstructing Harry,Woody Allen,R,96,1,1,1,0,1
1975,Deep Red,Dario Argento,R,98,0,0,0,0,1
1972,Deep Throat,Gerard Damiano,NC-17,61,0,0,0,0,1
1978,"Deer Hunter, The",Michael Cinemo,R,183,0,1,1,1,1
1991,Defending Your Life,Albert Brooks,PG,112,0,0,0,0,0
1958,"Defiant Ones, The",Stanley Kramer,NR,97,0,0,0,0,0
1991,Delicatessen,Marc Caro,R,99,0,0,1,1,1
1972,Deliverance,John Boorman,R,109,1,1,0,0,1
1974,"Deluge, The",Jerzy Hoffman,NR,315,0,0,0,0,0
2006,"Departed, The",Martin Scorsese,R,151,0,0,1,1,1
1975,Dersu Uzala,Akira Kurosawa,G,114,0,0,0,0,0
1945,Detour,Edgar G. Ulmer,G,67,0,0,0,0,0
1999,Detroit Rock City,Adam Rifkin,R,95,1,1,0,1,1
2001,"Devil's Backbone, The",Guillermo del Toro,R,106,1,1,1,1,1
1955,"Diaboliques, Les ",Henri-Georges Clouzot,NR,114,0,0,0,0,1
1954,Dial M for Murder,Alfred Hitchcock,PG,105,1,1,1,1,1
1988,Die Hard,John McTiernan,R,126,1,0,1,1,1
1995,Die Hard: With a Vengeance,John McTiernan,R,131,0,0,0,1,1
1967,"Dirty Dozen, The",Robert Aldrich,NR,144,1,1,1,1,1
2004,Dirty Filthy Love,Adrian Shergold,R,120,0,0,0,1,0
1971,Dirty Harry,Don Siegel,R,102,0,0,1,0,1
2002,Dirty Pretty Things,Stephen Frears,R,107,0,0,1,1,1
1972,"Discrete Charm of the Bourgeoisie, The",Luis Buñuel,PG,101,0,0,1,0,0
2007,"Diving Bell and the Butterfly, The",Julian Schnabel,PG-13,112,0,0,1,1,1
1989,Do the Right Thing,Spike Lee,R,120,0,0,0,0,1
